YEAR;MO;DY;ALLSKY_SFC_SW_DIFF;ALLSKY_SFC_SW_DWN;CLRSKY_SFC_SW_DWN;ALLSKY_SFC_SW_DNI;ALLSKY_KT;ALLSKY_SFC_LW_DWN;T2MDEW;T2MWET;TS;QV2M;RH2M;PRECTOTCORR;PS;WS10M;WS10M_MAX;WS50M;ALLSKY_SFC_UV_INDEX;ALLSKY_SFC_PAR_TOT
2015;4;12;2.159;35.076;73.258;0.935;0.35;79.195;14.17;15.03;16.43;12.08;90.31;18.41;84.03;1.08;1.54;2.17;1.74;15.982
2015;4;13;22.884;44.268;71.686;22.279;0.44;78.132;14.62;15.8;17.55;12.47;87.14;39.16;84.05;1.51;2.21;3.06;2.02;19.865
2015;4;14;18.965;26.386;71.246;0.1714;0.26;77.513;14.85;16.13;18.03;12.66;86.06;2.97;84.01;1.58;2.35;3.01;1.24;12.089
2015;4;15;22.754;47.621;7.452;29.705;0.47;76.253;14.23;16.08;17.77;12.17;79.92;3.53;83.92;1.55;2.43;2.51;2.24;21.756
2015;4;16;22.721;41.964;76.435;22.039;0.42;77.232;14.07;15.35;16.6;12.06;85.47;13.31;83.93;1.24;1.91;2.15;2.11;19.087
2015;4;17;19.682;39.703;73.591;23.186;0.39;79.207;14.78;16.25;18.19;12.72;84.48;1.5;83.88;2.11;3.34;3.67;1.89;18.487
2015;4;18;20.304;35.642;75.149;16.483;0.35;77.098;15.19;16.35;18.05;12.99;87.57;1.94;83.88;1.77;3.03;3.06;1.69;16.322
2015;4;19;19.075;37.517;75.086;21.408;0.37;7.787;15.36;16.52;18.19;13.12;87.35;2.88;83.83;1.49;2.45;2.6;1.82;17.268
2015;4;20;2.281;44.057;7.362;2.407;0.44;79.834;15.42;16.56;18.28;13.17;87.8;5.4;83.8;1.45;2.47;2.69;2.08;20.016
2015;4;21;1.717;29.026;73.644;1.003;0.29;77.366;15.14;15.86;16.98;12.89;91.74;16.13;83.89;1.3;2.42;2.53;1.45;13.397
2015;4;22;19.783;41.306;74.441;2.281;0.41;75.828;14.71;15.65;17.13;12.55;89.69;17.24;83.86;1.63;2.3;2.84;2.04;18.948
2015;4;23;20.059;40.133;75.816;23.573;0.4;73.975;14.75;15.44;16.6;12.56;92.13;23.35;83.91;1.48;2.32;2.58;1.94;18.326
2015;4;24;19.049;29.496;72.264;0.6641;0.3;78.262;14.03;15.48;17.78;11.98;84.96;7.61;83.98;1.14;1.74;2.04;1.45;13.644
2015;4;25;1.699;32.189;72.038;1.626;0.32;7.897;13.39;14.48;16.19;11.47;87.75;49.89;84.02;1.65;2.17;3.06;1.56;14.839
2015;4;26;1.77;29.959;71.206;0.8594;0.3;78.403;13.42;14.99;17.41;11.51;83.42;10.16;83.96;1.28;2.12;2.53;1.46;13.838
2015;4;27;20.592;38.753;72.497;17.162;0.39;77.177;14.41;15.61;17.54;12.29;86.83;29.7;83.89;1.36;2.16;2.52;1.88;17.594
2015;4;28;20.616;30.883;71.746;0.684;0.31;7.997;14.74;15.65;17.2;12.56;89.91;36.72;83.85;1.38;1.92;2.28;1.51;14.189
2015;4;29;19.807;30.451;69.182;0.6043;0.31;78.876;14.2;15.16;16.77;12.12;89.29;20.06;83.89;1.33;1.87;2.42;1.41;13.858
2015;4;30;22.133;33.247;69.821;0.5242;0.34;77.412;14.27;15.43;17.17;12.18;87.24;8.28;83.91;1.17;1.9;2.4;1.56;14.969
2015;5;1;2.201;31.111;68.479;0.2911;0.32;76.337;14.84;16.04;17.64;12.67;86.64;13.3;83.89;1.47;2.2;2.52;1.45;14.294
